INDEX:,SPECIES NAME:
0,10-Formyltetrahydrofolate
1,3-Phospho-D-glyceroylphosphate
2,1-hexadec-9-enoyl-sn-glycerol3-phosphate
3,1-hexadecanoyl-sn-glycerol3-phosphate
4,1-Pyrroline-5-carboxylate
5,"2,3-Dihydrodipicolinate"
6,"(R)-2,3-Dihydroxy-3-methylbutanoate"
7,"(R)-2,3-Dihydroxy-3-methylpentanoate"
8,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
9,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone5#-phosphate"
10,"LL-2,6-Diaminoheptanedioate"
11,"meso-2,6-Diaminoheptanedioate"
12,(S)-2-Aceto-2-hydroxybutanoate
13,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose5-phosphate
14,2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate
15,2-Dehydropantoate
16,2-Demethylmenaquinone8
17,2-Demethylmenaquinol8
18,2-Deoxy-D-ribose1-phosphate
19,[2Fe-1S]desulfuratediron-sulfurcluster
20,[2Fe-2S]iron-sulfurcluster
21,2-Hydroxy-3-oxopropanoate
22,2-Methyl-4-amino-5-hydroxymethylpyrimidinediphosphate
23,2-C-methyl-D-erythritol4-phosphate
24,"2-C-methyl-D-erythritol2,4-cyclodiphosphate"
25,2-Oxobutanoate
26,2-Octaprenyl-6-hydroxyphenol
27,2-Octaprenylphenol
28,2-phospho-4-(cytidine5#-diphospho)-2-C-methyl-D-erythritol
29,3-(4-Hydroxyphenyl)pyruvate
30,3-Carboxy-2-hydroxy-4-methylpentanoate
31,3-Carboxy-3-hydroxy-4-methylpentanoate
32,3-Carboxy-4-methyl-2-oxopentanoate
33,3-Dehydroshikimate
34,(S)-3-Hydroxybutanoyl-CoA
35,(S)-3-Hydroxydecanoyl-CoA
36,(S)-3-Hydroxydodecanoyl-CoA
37,(S)-3-Hydroxyhexanoyl-CoA
38,(S)-3-Hydroxyhexadecanoyl-CoA
39,(R)-3-Hydroxytetradecanoyl-[acyl-carrierprotein]
40,(S)-3-Hydroxyoctanoyl-CoA
41,(S)-3-Hydroxytetradecanoyl-CoA
42,C#-(3-Indolyl)-glycerol3-phosphate
43,3-Methyl-2-oxobutanoate
44,(S)-3-Methyl-2-oxopentanoate
45,3-Oxodecanoyl-CoA
46,3-Oxododecanoyl-CoA
47,3-Oxohexanoyl-CoA
48,3-Oxohexadecanoyl-CoA
49,3-Oxotetradecanoyl-[acyl-carrierprotein]
50,3-Oxooctanoyl-CoA
51,3-Octaprenyl-4-hydroxybenzoate
52,3-Oxotetradecanoyl-CoA
53,3-Phospho-D-glycerate
54,3-Phosphohydroxypyruvate
55,5-O-(1-Carboxyvinyl)-3-phosphoshikimate
56,4-Aminobenzoate
57,4-amino-4-deoxychorismate
58,4-Amino-2-methyl-5-phosphomethylpyrimidine
59,4-(cytidine5#-diphospho)-2-C-methyl-D-erythritol
60,p-Cresol
